"SiteID","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","SiteID2"
"F_1F003",8,34,5,41,55,47,16,18,73,NA,126,NA,43,NA,9,"1F003"
"F_1F007",13,279,25,18,91,62,37,34,175,NA,166,NA,64,NA,4,"1F007"
"F_1F030",3,84,9,65,77,114,83,31,45,NA,54,NA,35,NA,4,"1F030"
"F_1F056",NA,64,NA,NA,NA,NA,40,NA,NA,NA,1,NA,NA,NA,1,"1F056"
"F_1F058",NA,76,NA,NA,NA,NA,19,NA,NA,NA,9,NA,NA,NA,3,"1F058"
"F_1F118",30,124,24,7,85,79,14,28,143,NA,40,NA,81,NA,6,"1F118"
"F_1F132",1,193,28,7,50,34,60,3,202,NA,51,NA,14,NA,14,"1F132"
"F_1F133",14,NA,NA,NA,NA,37,NA,NA,NA,NA,26,NA,60,NA,NA,"1F133"
"F_1F138",45,81,35,16,77,59,25,31,90,NA,89,NA,63,NA,17,"1F138"
"F_1F145",NA,NA,NA,38,59,88,36,27,141,NA,154,NA,57,NA,13,"1F145"
"F_1FVA1",6,147,20,20,95,65,21,48,145,NA,47,NA,69,NA,3,"1FVA1"
"F_1FVA2",15,191,32,6,125,103,39,29,64,NA,49,NA,43,NA,1,"1FVA2"
"F_1FVA3",15,290,22,28,30,109,37,48,82,NA,38,NA,7,NA,2,"1FVA3"
"F_2F015",NA,NA,NA,30,37,138,32,7,40,NA,2,NA,61,NA,0,"2F015"
"F_2F016",43,156,16,37,63,87,42,12,62,NA,23,NA,50,NA,3,"2F016"
"F_2F017",0,386,14,123,87,164,49,31,150,NA,15,NA,154,NA,2,"2F017"
"F_2F029",14,NA,NA,NA,NA,139,NA,NA,NA,NA,33,NA,NA,NA,5,"2F029"
"F_2F036",NA,NA,2,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,NA,"2F036"
"F_2F038",0,43,5,25,13,45,12,6,25,NA,6,NA,7,NA,1,"2F038"
"F_2F039",35,198,13,38,31,108,65,10,146,NA,6,NA,52,NA,6,"2F039"
"F_2F040",18,228,37,66,52,153,94,29,141,NA,14,NA,79,NA,16,"2F040"
"F_2F048",NA,NA,NA,104,NA,NA,NA,NA,193,NA,NA,NA,100,NA,NA,"2F048"
"F_2F050",46,58,17,35,7,93,33,18,51,NA,26,NA,20,NA,2,"2F050"
"F_2F053",43,NA,NA,NA,NA,26,NA,NA,NA,NA,16,NA,77,NA,NA,"2F053"
"F_2F055",27,117,44,27,43,75,27,13,58,NA,19,NA,41,NA,6,"2F055"
"F_2F060",NA,24,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,3,"2F060"
"F_2F062",NA,NA,NA,12,NA,NA,NA,NA,82,NA,NA,NA,26,NA,NA,"2F062"
"F_2F063",NA,NA,NA,17,NA,NA,NA,NA,45,NA,NA,NA,1,NA,NA,"2F063"
"F_2F067",NA,NA,2,NA,48,NA,NA,8,NA,NA,6,NA,NA,NA,0,"2F067"
"F_2F069",NA,NA,NA,49,NA,NA,NA,NA,82,NA,NA,NA,64,NA,NA,"2F069"
"F_2F071",35,NA,NA,NA,NA,22,NA,NA,17,NA,3,NA,18,NA,NA,"2F071"
"F_2F072",NA,NA,26,109,40,202,63,11,173,20,5,NA,75,148,10,"2F072"
"F_2F074",18,36,31,164,18,110,56,19,210,33,32,NA,121,105,9,"2F074"
"F_2F075",64,75,13,28,27,49,57,15,64,13,26,68,84,92,5,"2F075"
"F_2F076",42,86,16,30,48,75,59,11,89,NA,60,NA,58,NA,2,"2F076"
"F_2F090",12,NA,NA,NA,NA,42,NA,NA,53,NA,58,NA,55,NA,NA,"2F090"
"F_2F093",NA,NA,NA,NA,NA,14,27,7,37,9,2,16,25,22,1,"2F093"
"F_2F095",3,188,24,19,79,30,84,5,73,NA,8,NA,76,NA,0,"2F095"
"F_2F110",NA,297,NA,NA,NA,NA,34,NA,NA,NA,26,NA,NA,NA,0,"2F110"
"F_2F113",NA,NA,NA,NA,NA,67,NA,NA,NA,NA,77,NA,NA,NA,3,"2F113"
"F_2F119",NA,202,NA,NA,NA,NA,25,NA,NA,NA,53,NA,NA,NA,10,"2F119"
"F_2F122",NA,NA,NA,NA,97,NA,NA,11,NA,NA,NA,NA,NA,NA,9,"2F122"
"F_2F131",12,88,10,14,33,72,17,7,51,NA,8,NA,9,21,0,"2F131"
"F_2F135",26,51,9,48,86,69,69,40,77,NA,31,16,73,41,8,"2F135"
"F_2F140",NA,122,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,13,"2F140"
"F_2F252",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,NA,NA,NA,3,"2F252"
"F_2FVA4",64,66,22,66,103,124,100,51,135,38,32,38,146,90,14,"2FVA4"
"F_2FVA5",1,74,17,28,41,64,36,8,60,NA,30,NA,62,NA,2,"2FVA5"
"F_3F019",NA,NA,NA,NA,284,NA,NA,NA,125,NA,NA,NA,177,NA,NA,"3F019"
"F_3F020",NA,NA,NA,NA,147,NA,NA,NA,182,NA,NA,NA,138,NA,NA,"3F020"
"F_3F023",NA,NA,NA,46,NA,NA,NA,NA,66,NA,NA,NA,61,NA,NA,"3F023"
"F_3F025",4,NA,NA,NA,NA,80,NA,NA,NA,NA,11,NA,NA,21,NA,"3F025"
"F_3F041",NA,NA,2,NA,NA,NA,NA,14,NA,NA,1,NA,NA,NA,0,"3F041"
"F_3F043",NA,NA,7,NA,NA,NA,NA,8,NA,NA,14,NA,NA,NA,1,"3F043"
"F_3F044",47,155,24,34,57,113,26,7,160,130,12,103,69,NA,5,"3F044"
"F_3F045",1,60,1,28,43,22,12,1,5,61,2,29,52,NA,4,"3F045"
"F_3F079",1,6,1,21,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3F079"
"F_3F084",0,6,NA,NA,3,NA,NA,NA,1,4,NA,NA,NA,NA,1,"3F084"
"F_3F087",NA,NA,NA,NA,83,NA,NA,NA,173,NA,NA,NA,58,NA,NA,"3F087"
"F_3F101",NA,NA,NA,2,NA,NA,NA,NA,129,NA,NA,NA,14,NA,NA,"3F101"
"F_3F102",6,45,5,26,40,2,15,6,46,51,3,NA,19,NA,6,"3F102"
"F_3F103",20,106,6,8,43,19,13,6,32,67,4,NA,20,NA,1,"3F103"
"F_3F107",2,42,0,10,62,7,16,9,23,3,0,NA,67,50,6,"3F107"
"F_3F109",10,46,0,20,27,16,22,0,24,102,5,NA,66,12,3,"3F109"
"F_3F123",10,30,0,14,19,22,11,9,56,45,0,NA,7,20,4,"3F123"
"F_3F124",8,91,9,13,207,98,9,5,46,122,1,NA,22,28,19,"3F124"
"F_3F125",23,86,8,21,73,93,42,4,108,134,6,NA,18,14,32,"3F125"
"F_3F126",1,92,6,2,18,35,33,0,32,NA,15,NA,8,NA,1,"3F126"
"F_3F128",9,114,0,28,48,69,13,2,58,NA,2,NA,23,NA,0,"3F128"
"F_3F143",24,NA,NA,NA,NA,14,NA,NA,NA,NA,10,NA,NA,NA,0,"3F143"
"F_3F144",18,NA,NA,NA,NA,9,NA,NA,NA,NA,22,NA,NA,NA,0,"3F144"
"F_3F263",NA,NA,NA,NA,NA,NA,24,NA,100,NA,NA,NA,NA,NA,3,"3F263"
